0.965 (+/-0.001) for {'gamma': 0.1, 'C': 1, 'kernel': 'rbf'}
0.965 (+/-0.002) for {'gamma': 0.01, 'C': 1, 'kernel': 'rbf'}
0.910 (+/-0.002) for {'gamma': 0.001, 'C': 1, 'kernel': 'rbf'}
0.790 (+/-0.006) for {'gamma': 0.0001, 'C': 1, 'kernel': 'rbf'}
0.341 (+/-0.000) for {'gamma': 1e-05, 'C': 1, 'kernel': 'rbf'}

0.968 (+/-0.002) for {'gamma': 0.1, 'C': 10, 'kernel': 'rbf'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 10, 'kernel': 'rbf'}
0.964 (+/-0.002) for {'gamma': 0.001, 'C': 10, 'kernel': 'rbf'}
0.910 (+/-0.002) for {'gamma': 0.0001, 'C': 10, 'kernel': 'rbf'}
0.791 (+/-0.006) for {'gamma': 1e-05, 'C': 10, 'kernel': 'rbf'}

0.968 (+/-0.002) for {'gamma': 0.1, 'C': 100, 'kernel': 'rbf'}
0.982 (+/-0.002) for {'gamma': 0.01, 'C': 100, 'kernel': 'rbf'} ###########
0.975 (+/-0.002) for {'gamma': 0.001, 'C': 100, 'kernel': 'rbf'}
0.964 (+/-0.002) for {'gamma': 0.0001, 'C': 100, 'kernel': 'rbf'}
0.910 (+/-0.002) for {'gamma': 1e-05, 'C': 100, 'kernel': 'rbf'}

0.968 (+/-0.002) for {'gamma': 0.1, 'C': 1000, 'kernel': 'rbf'}
0.982 (+/-0.002) for {'gamma': 0.01, 'C': 1000, 'kernel': 'rbf'} ##########
0.977 (+/-0.002) for {'gamma': 0.001, 'C': 1000, 'kernel': 'rbf'}
0.974 (+/-0.002) for {'gamma': 0.0001, 'C': 1000, 'kernel': 'rbf'}
0.964 (+/-0.002) for {'gamma': 1e-05, 'C': 1000, 'kernel': 'rbf'}

0.968 (+/-0.002) for {'gamma': 0.1, 'C': 10000, 'kernel': 'rbf'}
0.982 (+/-0.002) for {'gamma': 0.01, 'C': 10000, 'kernel': 'rbf'} #########
0.978 (+/-0.001) for {'gamma': 0.001, 'C': 10000, 'kernel': 'rbf'}
0.974 (+/-0.002) for {'gamma': 0.0001, 'C': 10000, 'kernel': 'rbf'}
0.974 (+/-0.002) for {'gamma': 1e-05, 'C': 10000, 'kernel': 'rbf'}


0.974 (+/-0.002) for {'C': 1, 'kernel': 'linear'}
0.974 (+/-0.002) for {'C': 10, 'kernel': 'linear'}
0.972 (+/-0.002) for {'C': 100, 'kernel': 'linear'}
0.972 (+/-0.002) for {'C': 1000, 'kernel': 'linear'}
0.972 (+/-0.002) for {'C': 10000, 'kernel': 'linear'}


0.974 (+/-0.002) for {'gamma': 0.1, 'C': 1, 'degree': 1, 'kernel': 'poly'}
0.956 (+/-0.003) for {'gamma': 0.01, 'C': 1, 'degree': 1, 'kernel': 'poly'}
0.887 (+/-0.003) for {'gamma': 0.001, 'C': 1, 'degree': 1, 'kernel': 'poly'}
0.681 (+/-0.004) for {'gamma': 0.0001, 'C': 1, 'degree': 1, 'kernel': 'poly'}
0.339 (+/-0.001) for {'gamma': 1e-05, 'C': 1, 'degree': 1, 'kernel': 'poly'}


0.979 (+/-0.001) for {'gamma': 0.1, 'C': 1, 'degree': 2, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.01, 'C': 1, 'degree': 2, 'kernel': 'poly'}
0.853 (+/-0.003) for {'gamma': 0.001, 'C': 1, 'degree': 2, 'kernel': 'poly'}
0.243 (+/-0.001) for {'gamma': 0.0001, 'C': 1, 'degree': 2, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1, 'degree': 2, 'kernel': 'poly'}


0.980 (+/-0.001) for {'gamma': 0.1, 'C': 1, 'degree': 3, 'kernel': 'poly'}
0.977 (+/-0.001) for {'gamma': 0.01, 'C': 1, 'degree': 3, 'kernel': 'poly'}
0.786 (+/-0.003) for {'gamma': 0.001, 'C': 1, 'degree': 3, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1, 'degree': 3, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1, 'degree': 3, 'kernel': 'poly'}


0.980 (+/-0.002) for {'gamma': 0.1, 'C': 1, 'degree': 4, 'kernel': 'poly'} 
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 1, 'degree': 4, 'kernel': 'poly'}
0.578 (+/-0.004) for {'gamma': 0.001, 'C': 1, 'degree': 4, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1, 'degree': 4, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1, 'degree': 4, 'kernel': 'poly'}


0.980 (+/-0.002) for {'gamma': 0.1, 'C': 1, 'degree': 5, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 1, 'degree': 5, 'kernel': 'poly'}
0.515 (+/-0.001) for {'gamma': 0.001, 'C': 1, 'degree': 5, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1, 'degree': 5, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1, 'degree': 5, 'kernel': 'poly'}


0.981 (+/-0.002) for {'gamma': 0.1, 'C': 1, 'degree': 6, 'kernel': 'poly'}
